Date,Activity,Activity type,Unit,Amount executed
2025-03-20,Iron mining,Railway,m3,840.9295634535713
2025-05-25,Foundation pouring,Building,m3,1288.529169853994
2025-11-23,Foundation pouring,Building,m3,4685.591621822695
2025-04-25,Ballast,Railway,m3,1150.0170797535402
2025-02-16,Foundation pouring,Building,m3,4553.931384980662
2025-08-24,Rolling/Tractor,Road,m2,2621.874532876331
2025-02-07,Subbase application,Road,m2,4804.896637589463
2025-07-19,Rolling/Tractor,Road,m2,4824.179345945964
2025-06-16,Pavement,Road,m2,4834.464676334129
2025-10-12,Pavement,Road,m2,2014.6007114172337
2025-03-06,Cement making,Building,m3,4429.965697865452
2025-01-07,Laying steel rail,Railway,m,4805.332641092645
2025-09-25,Iron mining,Railway,m3,2711.0275138985367
2025-07-12,Terrain leveling,Building,m3,1981.2232163708982
2025-04-25,Coat preparation,Road,L,3221.7958563920874
2025-01-31,Laying steel rail,Railway,m,4553.931480655296
2025-07-02,Iron mining,Railway,m3,1618.801240983237
2025-11-06,Subbase application,Road,m2,1724.2213615042012
2025-07-27,Pavement,Road,m2,4770.691325836097
2025-01-23,Iron mining,Railway,m3,1391.9007535833139
2025-12-15,Iron mining,Railway,m3,2322.0847619352926
2025-08-07,Walling,Building,m2,1145.9306976221412
2025-12-18,Anchorage,Railway,m2,1105.493672492671
2025-01-14,Coat preparation,Road,L,3665.7547915885875
2025-09-26,Rolling/Tractor,Road,m2,3553.4011451635565
2025-04-01,Rolling/Tractor,Road,m2,2783.182862356299
2025-07-26,Ballast,Railway,m3,1167.3910485280996
2025-07-31,Coat preparation,Road,L,4190.850201714624
2025-03-21,Cement making,Building,m3,452.25327489251674
2025-05-23,Laying steel rail,Railway,m,1771.3556063101232
2025-08-05,Foundation pouring,Building,m3,4689.19870380398
2025-11-07,Laying steel rail,Railway,m,4578.058968383414
2025-09-04,Walling,Building,m2,782.0141188878293
2025-04-11,Pavement,Road,m2,3675.934336860558
2025-09-07,Pavement,Road,m2,4800.876405458177
2025-07-03,Foundation pouring,Building,m3,1884.9697336147076
2025-08-12,Ballast,Railway,m3,1017.6936203047154
2025-08-05,Coat preparation,Road,L,229.88651716776997
2025-08-08,Coat preparation,Road,L,1280.6901429037132
2025-12-12,Anchorage,Railway,m2,3843.2968436920055
2025-08-20,Iron mining,Railway,m3,730.3346091990121
2025-01-17,Walling,Building,m2,3684.09326694925
2025-11-28,Iron mining,Railway,m3,1688.80074002841
2025-05-03,Subbase application,Road,m2,1692.4953544364935
2025-07-26,Foundation pouring,Building,m3,4245.544255813326
2025-09-29,Coat preparation,Road,L,1615.777921063143
2025-08-28,Laying steel rail,Railway,m,4656.199494376534
2025-02-23,Iron mining,Railway,m3,396.6507073331682
2025-08-21,Foundation pouring,Building,m3,3324.1790135640213
2025-09-03,Laying steel rail,Railway,m,646.3175472961325
2025-05-02,Foundation pouring,Building,m3,3356.7931315986743
2025-01-30,Ballast,Railway,m3,4737.532809422402
2025-01-27,Anchorage,Railway,m2,3602.456388169517
2025-06-06,Terrain leveling,Building,m3,4595.018345295405
2025-03-08,Walling,Building,m2,2664.0701081940947
2025-12-15,Foundation pouring,Building,m3,1461.2747280437115
2025-11-03,Rolling/Tractor,Road,m2,736.7759808370761
2025-07-05,Subbase application,Road,m2,139.38033839167753
2025-05-16,Pavement,Road,m2,686.1676003187706
2025-10-31,Anchorage,Railway,m2,2309.455178621197
2025-12-01,Cement making,Building,m3,4625.288829376258
2025-01-19,Removing trees,Building,m2,1065.0735858458665
2025-06-10,Foundation pouring,Building,m3,4284.288405525326
2025-06-01,Anchorage,Railway,m2,387.43553753124604
2025-01-11,Cement making,Building,m3,1723.764221008612
2025-07-13,Pavement,Road,m2,670.292441938345
2025-02-27,Subbase application,Road,m2,3809.2997395392963
2025-10-16,Pavement,Road,m2,2913.622452896552
2025-08-24,Anchorage,Railway,m2,1337.5574122575813
2025-07-03,Terrain leveling,Building,m3,839.3491505390355
2025-12-09,Ballast,Railway,m3,4639.980637489903
2025-04-14,Subbase application,Road,m2,1952.8959558831193
2025-12-05,Walling,Building,m2,1854.4926561112175
2025-06-13,Foundation pouring,Building,m3,719.3158225463076
2025-12-12,Pavement,Road,m2,2173.7660784906193
2025-09-09,Foundation pouring,Building,m3,1265.765509145045
2025-01-11,Cement making,Building,m3,2185.2330248287494
2025-05-08,Foundation pouring,Building,m3,2821.2156581660292
2025-02-21,Ballast,Railway,m3,2706.9682164303845
2025-10-10,Foundation pouring,Building,m3,1901.8849188617426
2025-06-22,Subbase application,Road,m2,2198.2143360134282
2025-02-13,Rolling/Tractor,Road,m2,4723.712514382947
2025-09-08,Removing trees,Building,m2,146.3399319238279
2025-12-08,Terrain leveling,Building,m3,1632.3780388547666
2025-05-10,Laying steel rail,Railway,m,3675.481223880403
2025-03-29,Cement making,Building,m3,382.44170230719743
2025-08-31,Foundation pouring,Building,m3,2717.4764660443316
2025-04-01,Cement making,Building,m3,3749.997803830105
2025-03-13,Laying steel rail,Railway,m,273.7695102663773
2025-04-13,Subbase application,Road,m2,1342.0710093875093
2025-01-06,Walling,Building,m2,4777.935798400462
2025-12-19,Anchorage,Railway,m2,4169.460822326114
2025-11-23,Laying steel rail,Railway,m,1151.9369283568703
2025-09-30,Walling,Building,m2,4910.87580149084
2025-07-30,Removing trees,Building,m2,1504.0893456641409
2025-05-21,Rolling/Tractor,Road,m2,2132.370252090641
2025-05-22,Cement making,Building,m3,3321.3519246902433
2025-10-25,Anchorage,Railway,m2,3589.056340108093
2025-05-30,Terrain leveling,Building,m3,3600.598410857783
2025-07-18,Cement making,Building,m3,4161.961269386615
2025-03-14,Terrain leveling,Building,m3,2390.109723392013
2025-11-28,Walling,Building,m2,2742.224067840351
2025-04-27,Laying steel rail,Railway,m,280.0451067846149
2025-11-15,Walling,Building,m2,3222.4701686689755
2025-10-16,Coat preparation,Road,L,204.95004582810506
2025-12-07,Foundation pouring,Building,m3,1680.4248734381738
2025-04-14,Ballast,Railway,m3,1577.6278678370381
2025-01-23,Pavement,Road,m2,316.2537737613208
2025-02-20,Anchorage,Railway,m2,946.5110031557167
2025-12-28,Terrain leveling,Building,m3,1940.7648805705392
2025-06-13,Subbase application,Road,m2,601.965548884738
2025-08-27,Terrain leveling,Building,m3,3998.850811061209
2025-10-29,Foundation pouring,Building,m3,4504.059703392832
2025-01-07,Cement making,Building,m3,678.1502890801561
2025-02-01,Anchorage,Railway,m2,2577.9366882311588
2025-01-21,Removing trees,Building,m2,4508.001604009377
2025-12-04,Rolling/Tractor,Road,m2,2445.0993401911564
2025-05-27,Walling,Building,m2,1643.8455946106235
2025-04-09,Terrain leveling,Building,m3,511.1133483559044
2025-02-07,Terrain leveling,Building,m3,3387.2091636885193
2025-09-14,Iron mining,Railway,m3,2603.2595930643015
2025-01-28,Pavement,Road,m2,1275.5024668183196
2025-11-11,Removing trees,Building,m2,1995.7311492619144
2025-07-12,Subbase application,Road,m2,1637.7474800631037
2025-06-21,Anchorage,Railway,m2,3234.6350486256324
2025-09-24,Subbase application,Road,m2,2935.0049921533587
2025-12-08,Removing trees,Building,m2,3099.271207917273
2025-11-04,Ballast,Railway,m3,4555.093142877093
2025-12-06,Laying steel rail,Railway,m,1838.244378876141
2025-01-01,Removing trees,Building,m2,3311.923633013181
2025-10-28,Laying steel rail,Railway,m,3386.610925150729
2025-09-17,Pavement,Road,m2,4496.57381905052
2025-09-18,Laying steel rail,Railway,m,2100.5404406938214
2025-05-02,Terrain leveling,Building,m3,1460.5643094865045
2025-09-08,Cement making,Building,m3,995.3354004324477
2025-01-29,Coat preparation,Road,L,3886.6019408658813
2025-01-10,Foundation pouring,Building,m3,6.909631516989756
2025-01-27,Coat preparation,Road,L,2857.545911838318
2025-10-02,Coat preparation,Road,L,3241.1812115854173
2025-06-06,Coat preparation,Road,L,4794.178197562842
2025-12-16,Walling,Building,m2,1964.857302749763
2025-12-04,Pavement,Road,m2,3254.532223286728
2025-03-27,Laying steel rail,Railway,m,1518.7198759468383
2025-06-19,Foundation pouring,Building,m3,3414.4221223376107
2025-06-06,Laying steel rail,Railway,m,3804.0812183700227
2025-05-26,Ballast,Railway,m3,4957.1938493607295
2025-06-06,Terrain leveling,Building,m3,4267.270496630278
2025-03-08,Iron mining,Railway,m3,2751.70661592269
2025-04-12,Cement making,Building,m3,4757.897009872261
2025-02-20,Walling,Building,m2,1486.6655483979735
2025-07-14,Laying steel rail,Railway,m,3495.661754973471
2025-02-02,Foundation pouring,Building,m3,4736.5440427458625
2025-01-13,Cement making,Building,m3,4988.483418868637
2025-04-15,Laying steel rail,Railway,m,373.7152736748178
2025-05-12,Cement making,Building,m3,3801.848945492773
2025-08-05,Terrain leveling,Building,m3,3911.6894783151884
2025-06-01,Terrain leveling,Building,m3,3895.1755875509793
2025-12-14,Coat preparation,Road,L,3098.5312920447063
2025-05-26,Removing trees,Building,m2,2984.5241160762757
2025-01-17,Pavement,Road,m2,3695.0025802910673
2025-09-06,Iron mining,Railway,m3,4340.540355395889
2025-09-02,Pavement,Road,m2,920.4844689729786
2025-06-20,Pavement,Road,m2,223.7383618729505
2025-11-17,Coat preparation,Road,L,3067.422390049965
2025-12-11,Ballast,Railway,m3,43.22850625854524
2025-07-15,Pavement,Road,m2,542.412226283993
2025-09-12,Pavement,Road,m2,1406.1893967231254
2025-07-19,Removing trees,Building,m2,1343.9855959782415
2025-08-18,Coat preparation,Road,L,4719.60244285528
2025-02-18,Anchorage,Railway,m2,4222.921734568065
2025-07-16,Subbase application,Road,m2,1488.2116362881698
2025-05-26,Iron mining,Railway,m3,1464.1376171388026
2025-06-26,Foundation pouring,Building,m3,2107.8989702591725
2025-10-28,Pavement,Road,m2,87.90091584167159
2025-02-18,Iron mining,Railway,m3,825.63607445509
2025-10-01,Removing trees,Building,m2,2984.6530332751076
2025-11-03,Walling,Building,m2,779.1941235211347
2025-02-13,Pavement,Road,m2,4998.872896968775
2025-08-14,Iron mining,Railway,m3,1154.5716382709088
2025-07-19,Walling,Building,m2,4674.307974180819
2025-03-08,Subbase application,Road,m2,1628.6924375494477
2025-11-28,Coat preparation,Road,L,4411.025592482379
2025-10-08,Ballast,Railway,m3,2380.7937727364288
2025-08-06,Subbase application,Road,m2,3294.0116736782666
2025-07-20,Terrain leveling,Building,m3,4148.87447853742
2025-05-28,Pavement,Road,m2,1197.6916911832097
2025-08-11,Terrain leveling,Building,m3,3527.8051158993358
2025-06-30,Pavement,Road,m2,4799.428352440582
2025-12-12,Laying steel rail,Railway,m,12.79176558114159
2025-02-05,Iron mining,Railway,m3,3430.750764149011
2025-11-28,Removing trees,Building,m2,104.76994281952034
2025-05-14,Subbase application,Road,m2,1825.1893910286433
2025-07-11,Subbase application,Road,m2,4141.3058278332865
2025-12-01,Rolling/Tractor,Road,m2,4587.870479249742
2025-10-08,Anchorage,Railway,m2,785.4050985841887
2025-07-11,Coat preparation,Road,L,1900.6173619161937
2025-01-04,Subbase application,Road,m2,4292.327917582968
2025-02-07,Subbase application,Road,m2,3607.698147942674
2025-11-28,Terrain leveling,Building,m3,3637.5414405970123
2025-10-25,Coat preparation,Road,L,4406.451126916135
2025-11-27,Terrain leveling,Building,m3,293.1230646641753
2025-06-04,Foundation pouring,Building,m3,1633.0614398594605
2025-11-24,Terrain leveling,Building,m3,1210.4559882142512
2025-01-06,Iron mining,Railway,m3,810.3847090646793
2025-09-21,Ballast,Railway,m3,3338.4972341169773
2025-11-29,Ballast,Railway,m3,2169.929511327088
2025-01-07,Terrain leveling,Building,m3,4573.205528132799
2025-01-24,Walling,Building,m2,2216.301584854685
2025-08-08,Subbase application,Road,m2,4298.199171822874
2025-09-26,Pavement,Road,m2,1746.33291475836
2025-05-12,Pavement,Road,m2,3902.074052272996
2025-04-07,Iron mining,Railway,m3,727.9051821068855
2025-11-30,Coat preparation,Road,L,2716.1216575497237
2025-02-10,Foundation pouring,Building,m3,3980.6368988697905
2025-05-26,Subbase application,Road,m2,2438.88387961442
2025-07-06,Removing trees,Building,m2,1562.018616454156
2025-07-25,Walling,Building,m2,141.89776583133585
2025-06-13,Ballast,Railway,m3,1262.5042751393555
2025-04-08,Pavement,Road,m2,1584.297317764171
2025-10-04,Foundation pouring,Building,m3,1250.1463929482504
2025-01-01,Foundation pouring,Building,m3,2612.243994408081
2025-10-04,Cement making,Building,m3,12.583803307969488
2025-11-28,Walling,Building,m2,2551.3727430610957
2025-08-06,Laying steel rail,Railway,m,3638.9598013257137
2025-07-04,Pavement,Road,m2,2494.909941549883
2025-04-29,Walling,Building,m2,2718.4029133780964
2025-06-20,Walling,Building,m2,4384.5200009976
2025-07-21,Laying steel rail,Railway,m,4741.191110384748
2025-09-09,Pavement,Road,m2,4522.3533739540535
2025-03-17,Subbase application,Road,m2,2644.1388466964568
2025-04-02,Subbase application,Road,m2,4247.633545335134
2025-02-10,Subbase application,Road,m2,4797.9871997754835
2025-10-18,Ballast,Railway,m3,4675.26592823848
2025-11-10,Ballast,Railway,m3,280.887952668461
2025-02-26,Iron mining,Railway,m3,3702.563125140072
2025-11-05,Cement making,Building,m3,1192.0998062613387
2025-02-19,Coat preparation,Road,L,3627.8328761897324
2025-04-22,Removing trees,Building,m2,4241.7495909921245
2025-07-14,Rolling/Tractor,Road,m2,4235.217725090286
2025-04-19,Pavement,Road,m2,4098.353264310932
2025-08-24,Cement making,Building,m3,3737.118047195735
2025-09-04,Pavement,Road,m2,3412.4831995775166
2025-03-14,Laying steel rail,Railway,m,1541.4766468471275
2025-12-22,Pavement,Road,m2,2973.6562981619036
2025-09-06,Cement making,Building,m3,48.224524879661445
2025-12-15,Cement making,Building,m3,1743.6965164632134
2025-07-09,Foundation pouring,Building,m3,1058.7195969170348
2025-02-23,Rolling/Tractor,Road,m2,1173.391957692151
2025-10-19,Iron mining,Railway,m3,1494.8860408038638
2025-09-03,Laying steel rail,Railway,m,2114.4640438345386
2025-08-16,Removing trees,Building,m2,1921.1659732263847
2025-05-07,Subbase application,Road,m2,3134.3402103999347
2025-09-09,Laying steel rail,Railway,m,3401.905220676589
2025-12-21,Laying steel rail,Railway,m,1209.9733344146007
2025-12-11,Removing trees,Building,m2,2928.350025490021
2025-06-01,Terrain leveling,Building,m3,3686.359218392501
2025-05-13,Anchorage,Railway,m2,1541.361225852374
2025-03-26,Anchorage,Railway,m2,3337.2413891674123
2025-10-02,Removing trees,Building,m2,2245.9374081372735
2025-01-29,Foundation pouring,Building,m3,2145.870664257979
2025-01-12,Rolling/Tractor,Road,m2,1358.766463004974
2025-08-28,Subbase application,Road,m2,2553.136019550438
2025-09-14,Terrain leveling,Building,m3,2406.7263893582303
2025-05-17,Rolling/Tractor,Road,m2,4903.7652938317615
2025-06-26,Iron mining,Railway,m3,3568.3613232796592
2025-10-12,Subbase application,Road,m2,4397.887431259731
2025-11-30,Coat preparation,Road,L,3747.054999295887
2025-05-10,Anchorage,Railway,m2,4248.664285945767
2025-03-17,Anchorage,Railway,m2,4118.492590628221
2025-08-15,Pavement,Road,m2,914.9652010961406
2025-11-12,Cement making,Building,m3,2699.970905377976
2025-05-04,Walling,Building,m2,3163.5441625804315
2025-12-17,Walling,Building,m2,2548.52984675495
2025-08-01,Pavement,Road,m2,494.64550982513344
2025-10-30,Coat preparation,Road,L,1371.4041820065709
2025-10-06,Laying steel rail,Railway,m,799.5512354198625
2025-04-22,Terrain leveling,Building,m3,2998.0308738417507
2025-09-04,Rolling/Tractor,Road,m2,2403.785303829527
2025-10-04,Iron mining,Railway,m3,1549.2123836473781
2025-06-04,Walling,Building,m2,1265.4029756802659
2025-02-10,Foundation pouring,Building,m3,1586.8756647830357
2025-07-11,Cement making,Building,m3,4658.268813619299
2025-12-29,Anchorage,Railway,m2,4737.354951759303
2025-02-06,Foundation pouring,Building,m3,4274.09424443281
2025-02-11,Anchorage,Railway,m2,2561.8473314011185
2025-11-28,Subbase application,Road,m2,3157.283625279898
2025-08-01,Subbase application,Road,m2,4968.58352119527
2025-02-16,Subbase application,Road,m2,60.695434428077455
2025-04-25,Rolling/Tractor,Road,m2,3500.643228740005
2025-04-03,Foundation pouring,Building,m3,4730.031767260967
2025-09-18,Pavement,Road,m2,3028.917689087378
2025-06-07,Iron mining,Railway,m3,2825.852094527545
2025-02-15,Pavement,Road,m2,1978.561418862756
2025-03-17,Rolling/Tractor,Road,m2,1945.6744911312728
2025-04-18,Coat preparation,Road,L,4325.810257146454
2025-08-12,Cement making,Building,m3,1769.1623700440318
2025-03-25,Removing trees,Building,m2,2436.1105343856525
2025-01-10,Anchorage,Railway,m2,3206.256829772739
2025-08-08,Coat preparation,Road,L,2949.2874609154173
2025-06-13,Iron mining,Railway,m3,1554.9336781850304
2025-05-16,Pavement,Road,m2,2537.5547652981627
2025-10-30,Anchorage,Railway,m2,2780.0505947543943
2025-09-30,Cement making,Building,m3,1511.4832487065817
2025-11-29,Walling,Building,m2,4799.884671917247
2025-07-03,Removing trees,Building,m2,3080.906762124016
2025-12-22,Terrain leveling,Building,m3,2039.2022845994688
2025-08-29,Pavement,Road,m2,104.86824541157513
2025-04-18,Laying steel rail,Railway,m,2888.1851541750702
2025-03-05,Removing trees,Building,m2,4509.146024724948
2025-12-01,Ballast,Railway,m3,240.76677466242813
2025-05-02,Ballast,Railway,m3,3193.108772999516
2025-04-26,Ballast,Railway,m3,3103.790600504135
2025-06-11,Coat preparation,Road,L,1280.442752002864
2025-10-23,Foundation pouring,Building,m3,734.1522236459735
2025-04-28,Rolling/Tractor,Road,m2,440.87242028622074
2025-06-17,Pavement,Road,m2,4723.353769867961
2025-04-22,Rolling/Tractor,Road,m2,2781.9267584452064
2025-11-14,Foundation pouring,Building,m3,1490.698596585292
2025-07-18,Anchorage,Railway,m2,1400.0302689404698
2025-08-30,Anchorage,Railway,m2,4335.062221790367
2025-01-30,Laying steel rail,Railway,m,1117.0506173132621
2025-01-15,Walling,Building,m2,2332.55523641445
2025-01-06,Laying steel rail,Railway,m,4599.588637931609
2025-06-18,Laying steel rail,Railway,m,1239.5729849724003
2025-03-13,Foundation pouring,Building,m3,1960.8511969456
2025-01-24,Pavement,Road,m2,188.22095670463113
2025-04-09,Anchorage,Railway,m2,3935.3156262564985
2025-06-10,Ballast,Railway,m3,2348.7849737957517
2025-06-25,Coat preparation,Road,L,4760.423231341342
2025-04-01,Cement making,Building,m3,3121.0531185420386
2025-02-21,Anchorage,Railway,m2,4322.411527446759
2025-05-06,Walling,Building,m2,2526.511612640542
2025-02-08,Walling,Building,m2,2859.6755798606036
2025-05-16,Iron mining,Railway,m3,3764.748737468251
2025-09-26,Rolling/Tractor,Road,m2,4360.703186724064
2025-09-24,Ballast,Railway,m3,812.1828296058247
2025-05-03,Subbase application,Road,m2,2647.9497048688754
2025-02-19,Terrain leveling,Building,m3,3156.24532850795
2025-08-01,Ballast,Railway,m3,1266.7278743110849
2025-03-22,Subbase application,Road,m2,434.53172416433205
2025-06-03,Coat preparation,Road,L,3571.337054179739
2025-06-01,Coat preparation,Road,L,1781.6852168137664
2025-05-21,Cement making,Building,m3,2550.701303964947
2025-07-07,Walling,Building,m2,956.7845202726638
2025-02-01,Cement making,Building,m3,2803.538669308977
2025-03-11,Pavement,Road,m2,945.0315126389836
2025-01-10,Ballast,Railway,m3,4858.752233463247
2025-06-09,Walling,Building,m2,4298.1988900207825
2025-07-13,Subbase application,Road,m2,4549.870623167984
2025-07-06,Subbase application,Road,m2,4331.620075955761
2025-02-07,Laying steel rail,Railway,m,3061.9334210418297
2025-11-02,Coat preparation,Road,L,2748.8627977809883
2025-03-07,Walling,Building,m2,4353.524924279989
2025-04-10,Laying steel rail,Railway,m,1870.3763743196378
2025-10-15,Subbase application,Road,m2,2053.4060677552325
2025-01-18,Removing trees,Building,m2,1435.4865605109724
2025-11-27,Iron mining,Railway,m3,3387.453567386653
2025-09-15,Laying steel rail,Railway,m,698.622147772664
2025-07-25,Foundation pouring,Building,m3,4813.824667034835
2025-11-12,Laying steel rail,Railway,m,5.492164169136338
2025-03-23,Cement making,Building,m3,1548.252046814827
2025-07-05,Cement making,Building,m3,1202.3411074336836
2025-12-22,Cement making,Building,m3,3122.333926331682
2025-08-22,Cement making,Building,m3,3575.022740857507
2025-04-29,Coat preparation,Road,L,1220.1746754439087
2025-06-27,Removing trees,Building,m2,4742.470054799254
2025-09-22,Pavement,Road,m2,1826.7212985409726
2025-10-31,Cement making,Building,m3,1233.5677548061624
2025-01-23,Foundation pouring,Building,m3,847.9250681456341
2025-03-21,Foundation pouring,Building,m3,3784.2242170801997
2025-01-15,Iron mining,Railway,m3,3841.1508666631667
2025-10-31,Walling,Building,m2,1613.7171504736464
2025-05-19,Pavement,Road,m2,3946.1187116906167
2025-11-26,Walling,Building,m2,4721.664500503585
2025-07-29,Pavement,Road,m2,1013.5392480481075
2025-05-20,Coat preparation,Road,L,4219.129051028191
2025-02-09,Anchorage,Railway,m2,4881.3265230661755
2025-10-29,Anchorage,Railway,m2,3733.656208361249
2025-02-17,Ballast,Railway,m3,697.0144485189245
2025-10-26,Subbase application,Road,m2,2357.1173565449412
2025-10-08,Foundation pouring,Building,m3,2689.362750685536
2025-04-26,Cement making,Building,m3,1520.0664431884186
2025-09-18,Removing trees,Building,m2,4271.033216884128
2025-11-02,Cement making,Building,m3,3644.3328610217045
2025-06-17,Pavement,Road,m2,3335.990760122781
2025-12-12,Rolling/Tractor,Road,m2,3748.49174859516
2025-11-10,Rolling/Tractor,Road,m2,1987.6149448142205
2025-11-11,Cement making,Building,m3,2144.835014615924
2025-12-07,Ballast,Railway,m3,4193.476705543588
2025-12-05,Anchorage,Railway,m2,492.0034633327541
2025-07-07,Walling,Building,m2,3366.7815688645196
2025-05-22,Rolling/Tractor,Road,m2,2259.41913239822
2025-07-21,Removing trees,Building,m2,2088.42903532531
2025-02-03,Removing trees,Building,m2,4857.3421818777715
2025-04-22,Ballast,Railway,m3,3932.678401469439
2025-09-05,Ballast,Railway,m3,3513.3865712504885
2025-01-03,Iron mining,Railway,m3,3078.12136448286
2025-11-02,Anchorage,Railway,m2,3390.690453611592
2025-09-23,Coat preparation,Road,L,2367.980362237086
2025-03-24,Pavement,Road,m2,2387.012955013809
2025-06-19,Removing trees,Building,m2,3132.9995698237776
2025-09-04,Ballast,Railway,m3,3704.5944972900984
2025-04-27,Laying steel rail,Railway,m,2169.074663847046
2025-12-19,Terrain leveling,Building,m3,2298.7926534494195
2025-04-07,Walling,Building,m2,4142.338982145991
2025-04-18,Rolling/Tractor,Road,m2,3094.8062346043594
2025-11-21,Rolling/Tractor,Road,m2,3608.1398016431745
2025-02-11,Foundation pouring,Building,m3,786.1062802250351
2025-02-09,Foundation pouring,Building,m3,4118.016547105353
2025-05-19,Ballast,Railway,m3,709.7568357070511
2025-08-15,Anchorage,Railway,m2,250.62645476675306
2025-08-19,Iron mining,Railway,m3,3831.2786745014787
2025-06-20,Pavement,Road,m2,4148.129330229665
2025-05-06,Removing trees,Building,m2,98.07099608433344
2025-12-10,Ballast,Railway,m3,4437.777975063156
2025-12-13,Terrain leveling,Building,m3,1153.0646895386249
2025-11-17,Subbase application,Road,m2,2547.691671363811
2025-11-15,Anchorage,Railway,m2,3690.9780893688867
2025-02-21,Ballast,Railway,m3,3023.7103178134184
2025-06-09,Coat preparation,Road,L,3124.422557332141
2025-10-05,Cement making,Building,m3,3767.905099157863
2025-02-13,Subbase application,Road,m2,976.667321739495
2025-10-19,Iron mining,Railway,m3,3255.2042261429483
2025-04-07,Removing trees,Building,m2,4787.000913454183
2025-07-20,Iron mining,Railway,m3,958.5018528142025
2025-07-23,Cement making,Building,m3,2792.5829085158234
2025-07-23,Anchorage,Railway,m2,3999.746144237358
2025-02-10,Foundation pouring,Building,m3,211.09087568058348
2025-01-26,Subbase application,Road,m2,1629.420188631947
2025-05-16,Subbase application,Road,m2,299.3501815048771
2025-11-15,Iron mining,Railway,m3,4563.486840604819
2025-09-26,Cement making,Building,m3,1196.8599491695463
2025-06-09,Coat preparation,Road,L,628.5773494100166
2025-11-12,Walling,Building,m2,3806.4663537391293
2025-02-14,Ballast,Railway,m3,2095.6671774957917
2025-02-23,Foundation pouring,Building,m3,3028.508829881288
2025-02-11,Rolling/Tractor,Road,m2,3641.765635610019
2025-01-31,Walling,Building,m2,3695.088314080713
2025-10-04,Laying steel rail,Railway,m,4049.698850002468
2025-03-08,Coat preparation,Road,L,1677.559750375151
2025-03-03,Removing trees,Building,m2,2628.7025523781576
2025-03-02,Pavement,Road,m2,3227.1927493516737
2025-01-24,Subbase application,Road,m2,4363.4638237209365
2025-11-10,Laying steel rail,Railway,m,1504.806959455684
2025-07-17,Walling,Building,m2,2036.0251156737702
2025-03-10,Terrain leveling,Building,m3,1043.0803349067958
2025-07-28,Iron mining,Railway,m3,932.5349551429968
2025-08-01,Rolling/Tractor,Road,m2,132.53006537994438
2025-07-19,Foundation pouring,Building,m3,1273.5257939386806
2025-06-05,Subbase application,Road,m2,4630.641151039011
2025-04-17,Rolling/Tractor,Road,m2,2579.898116799551
2025-05-25,Pavement,Road,m2,2749.3892269792336
2025-10-10,Pavement,Road,m2,4804.185995681069
2025-10-15,Subbase application,Road,m2,4999.991531193121
2025-08-29,Anchorage,Railway,m2,1074.3942292525344
2025-02-07,Subbase application,Road,m2,1669.9952221874541
2025-05-13,Removing trees,Building,m2,1281.569358796244
2025-02-09,Walling,Building,m2,2216.0428399107473
2025-02-21,Pavement,Road,m2,2817.4775097365846
2025-09-25,Iron mining,Railway,m3,3499.4647421300274
2025-06-30,Foundation pouring,Building,m3,2469.8974638805876
2025-05-25,Ballast,Railway,m3,1329.252034321128
2025-09-12,Cement making,Building,m3,604.021491449408
2025-02-27,Foundation pouring,Building,m3,750.3417603839047
2025-02-16,Cement making,Building,m3,1202.634848424405
2025-12-09,Laying steel rail,Railway,m,3601.2530699487615
2025-04-29,Anchorage,Railway,m2,3367.7874859438452
2025-12-25,Laying steel rail,Railway,m,2225.0886917068774
2025-12-20,Iron mining,Railway,m3,374.671603627994
2025-01-09,Rolling/Tractor,Road,m2,3747.2630390207605
2025-05-08,Coat preparation,Road,L,1045.8018243371253
2025-01-08,Coat preparation,Road,L,1911.9174907679649
2025-01-31,Coat preparation,Road,L,1921.1974266626148
2025-08-19,Subbase application,Road,m2,211.1010281087866
2025-06-14,Rolling/Tractor,Road,m2,2638.2715503676145
2025-05-30,Cement making,Building,m3,4545.055005293291
2025-08-20,Ballast,Railway,m3,913.1190486387092
2025-03-23,Pavement,Road,m2,2251.353063489265
2025-01-03,Cement making,Building,m3,3201.801387051375
2025-07-01,Anchorage,Railway,m2,2352.603962918208
2025-12-29,Pavement,Road,m2,294.3821957489856
2025-07-29,Coat preparation,Road,L,4848.663698591921
2025-09-08,Rolling/Tractor,Road,m2,4893.5561941981005
2025-01-02,Ballast,Railway,m3,1855.98427344565
2025-07-21,Coat preparation,Road,L,1400.8146761348362
2025-05-30,Pavement,Road,m2,144.32797687761345
2025-05-05,Ballast,Railway,m3,3282.6488113087876
2025-08-22,Ballast,Railway,m3,1894.5065001891592
2025-07-20,Terrain leveling,Building,m3,4233.117535160286
2025-02-09,Anchorage,Railway,m2,2289.3038279993816
2025-06-03,Subbase application,Road,m2,2962.4121870423523
2025-08-11,Pavement,Road,m2,4326.952391061308
2025-09-18,Rolling/Tractor,Road,m2,4508.3865776960965
2025-12-17,Iron mining,Railway,m3,1220.4596567840053
2025-08-24,Anchorage,Railway,m2,1033.3508160794136
2025-08-04,Ballast,Railway,m3,2109.106129264909
2025-05-05,Laying steel rail,Railway,m,1785.0575720480583
2025-12-28,Anchorage,Railway,m2,4987.319135750253
2025-01-26,Walling,Building,m2,3281.447443370659
2025-11-04,Rolling/Tractor,Road,m2,662.0010958720529
